C�digo;Descri��o;Fornecedor;Nome do fornecedor;Departamento;Descri��o do departamento;Se��o;Descri��o da se��o;Marca;Marca;Categoria;Nome da categoria;Tipo de mercadoria;Embalagem;Qtde unit.embalagem(Venda);Qtde embalagem master(Compra);Peso l�quido (Kg);NCM + Exce��o;Descri��o;NCM;Exce��o da TIPI;GTIN Unid.Venda;GTIN Unid.Master;GTIN Unid. Tribut�vel;Unidade Venda [EAN8, UPC12, EAN13, e DUN14];Unidade Master [EAN8, UPC12, EAN13, e DUN14];EAN Unid. Tribut�vel;C�d. F�brica;N�mero original;C�d. prod. principal;Descri��o do produto;Envia informa��es t�cnicas para NF-e;Fora de linha;Sub-Categoria;Nome da subcategoria;Data Exclus�o;Dt.Cadastro;% Representante;M�ltiplo compras;Qtd min. de compra embalagem do fornecedor;Sugerir pre�o de venda baseado;C�digo filial;Raz�o Social;Utiliza licen�a de importa��o;Descricao;Controlado pelo IBAMA;Verificar ramo de atividade para c�lculo do ST;Classe comiss�o;%Comiss�o Int.;Unidade Tribut�vel;Descri��o da unidade;Cesta B�sica - Legisla��o;Fator Convers�o Tribut�vel;Fator Convers�o Tribut�vel Ex;C�digo de agrega��o;C�digo interno;Utiliza o c�digo de agrega��o;Distribui��o;Descri��o do distribuidor;Classe Terap�utica;Codigo da sazonalidade;C�digo no SIMPRO;Grupo de Faturamento;Descri��o do principio ativo;Princ�pio ativo 2;Tipo embalagem Unilever;Tipo integra��o B2B;Url do produto; 
5363;DOCILE DOCIGOMA SUPER AZED CUBINHOS 80GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,08;17049020.1;BALAS E CARAMELOS;17049020;;14;14;;7,89645E+12;1,78965E+13;;80329;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;22/06/2023;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5364;DOCILE BALA GELAT SUPER AZED PIRAM 80GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,08;17049020.1;BALAS E CARAMELOS;17049020;;14;14;;7,89645E+12;1,78965E+13;;80330;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;22/06/2023;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5365;DOCILE BALA REG SUPER AZED CANUDINHO 70G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;0,07;17049020.1;BALAS E CARAMELOS;17049020;;14;14;;7,89645E+12;1,78965E+13;;80331;;2473;DOCILE BALA GELATINES DENTE VAMPIRO 80GR;N;  ;;;;22/06/2023;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5366;DOCILE PASTILHA SM SUPER AZEDINHOS 90G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;14;0,09;17049020.1;BALAS E CARAMELOS;17049020;;14;14;;7,89645E+12;1,78965E+13;;80332;;5366;DOCILE PASTILHA SM SUPER AZEDINHOS 90G;N;  ;;;;22/06/2023;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5367;*DOCILE KIT SALESKIT SUPER AZEDINHOS;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80401;DISPLAY;L;UN;1;1;2;48191000.;CAIXAS DE PAPEL OU CART�O, ONDULADOS;48191000;;13;13;;1,77778E+11;1,78889E+11;;14328;;2598;EXPOSITOR DOCILE PDV METAL SLIM;N;  ;;;;23/06/2023;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5368;EC CHEETOS MIX DE QUEIJOS 41G;707;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;90003;PEPSICO;10004;EXTRUSADOS;20;CHEETOS;59;A DEFINIR;L;UNIDADE;1;48;0,041;19041000.;PROD.� BASE D/CERS.OBT.P/EXP OU TORREFA��O;19041000;;13;14;;7,89284E+12;1,78928E+13;;300053198;;3972;EC CHEETOS ONDA REQUEIJAO 45G;N;FL;;;;30/06/2023;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5396;EC BATATA LAYS RUSTICAS CREAM CHEESE 68G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;207;LAYS;68;LAYS;L;UNIDADE;1;30;0,068;20052000.;BATATAS � CONS.VINAGRE/�CIDO AC�TICO,� CONG.;20052000;;13;14;;7,89284E+12;1,78928E+13;;300058020;;5932;EC BATATA LAYS CLASSICA 70G;N;  ;;;;14/08/2023;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5397;*DOCILE REGUA DE GONDOLA CONJ C/ 50;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;1;39031900.;OUTS.POLIESTIRENO EM FORMA PRIM�RIA;39031900;;13;14;;65600086568;65611186568;;1016;;4637;*DOCILE FAIXA DE GONDOLA C/ 10 UN;N;  ;;;;21/08/2023;2;;;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5398;*DOCILE CUPOM PROMOCIONAL;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;1;48232099.;OUTROS PAPEL-FILTRO E CART�O-FILTRO;48232099;;13;14;;12365686568;32165686568;;1032;;4637;*DOCILE FAIXA DE GONDOLA C/ 10 UN;N;  ;;;;21/08/2023;2;;;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5399;*DOCILE FORRA�AO 60CM GENTILEZAS;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;1;48119090.;OUTS.PAP.CART.PASTA,MANTAS.FIB.DE CELULOSE;48119090;;13;14;;65686568646;65686568564;;14250;;4637;*DOCILE FAIXA DE GONDOLA C/ 10 UN;N;  ;;;;21/08/2023;2;;;0;5;PRIME DISTRIBUICAO LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5400;*DOCILE EXPOSITOR ILHA DOCES GENTILEZA;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;1;48196000.;CARTONAGENS P/ESCR.,LOJAS E SEMELH.D/PAPEL;48196000;;13;14;;65555086568;65444486568;;14322;;4637;*DOCILE FAIXA DE GONDOLA C/ 10 UN;N;  ;;;;21/08/2023;2;;;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5401;*DOCILE EXPOSITOR ILHA DOCES GENTILEZA;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;1;48191000.;CAIXAS DE PAPEL OU CART�O, ONDULADOS;48191000;;13;14;;65086568;65000386568;;14245;;4637;*DOCILE FAIXA DE GONDOLA C/ 10 UN;N;  ;;;;21/08/2023;2;;;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5402;*DOCILE PREIFICADOR DE GONDOLA GENTILEZA;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;1;49111090.;OUTS.IMPRESS.PUBL.,CAT�LOGOS.COML. E SEM.;49111090;;13;14;;65600081234;65611154321;;14248;;4637;*DOCILE FAIXA DE GONDOLA C/ 10 UN;N;  ;;;;21/08/2023;2;;;0;5;PRIME DISTRIBUICAO LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5405;AUDAZ POP LITO EXPL UNICORNIO C/15 11G;920;AUDAZ FOODS LTDA;90006;DOCES;17200;BALAS;2000006;MBL DOCES E BRINQUEDOS;17201;DPC;L;DP C/15;1;18;0,215;17049020.4;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89866E+12;7,89866E+12;;609083035;;5160;AUDAZ POP LITO EXP PRINCESA 11G;N;  ;;;;29/08/2023;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5406;FAMPAR OVO BLOCO VEIC DE GUERRA C/06;920;AUDAZ FOODS LTDA;90006;DOCES;17200;BALAS;2000006;MBL DOCES E BRINQUEDOS;17201;DPC;L;DP C/06;1;6;0,495;95030099.;OUTROS BRINQUEDOS DE QUALQUER TIPO;95030099;;13;14;;7,90827E+12;7,90827E+12;;021085014;;5040;FAMPAR STILEKA OVO SURPRESA ZOO C/12;N;  ;;;;29/08/2023;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5407;DOCILE CANUDINHO VASS DE BRUXA 12PC 15G ;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16502;CHICLE DOCILE;L;DP C/12 UN;1;12;0,18;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;80370;;5407;DOCILE CANUDINHO VASS DE BRUXA 12PC 15G ;N;  ;;;;30/08/2023;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5412;*DOCILLE CARTAZ A3 PROM GENTILEZA PREMIA;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;0,01;49119100.;ESTAMPAS,GRAVURAS E FOTOGRAFIAS;49119100;;13;14;;1,06106E+11;6,01602E+12;;6988;;4631;*DOCILE  PLASTICO FORRACAO 60CM;N;  ;;;;21/09/2023;2;;;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5413;*DOCILE TOTEM ELIPTICO GENTILEZA PREMIAD;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;0,01;49119100.;ESTAMPAS,GRAVURAS E FOTOGRAFIAS;49119100;;13;14;;1,01101E+11;6,01601E+12;;14243;;4631;*DOCILE  PLASTICO FORRACAO 60CM;N;  ;;;;21/09/2023;2;;;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5414;*DOCILE WOBBLER PROMO GENTIL PREMIAD;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;0,01;49119100.;ESTAMPAS,GRAVURAS E FOTOGRAFIAS;49119100;;13;14;;1,06106E+11;6,01602E+12;;14346;;4631;*DOCILE  PLASTICO FORRACAO 60CM;N;  ;;;;21/09/2023;2;;;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5415;*DOCILE REGUA DE GONDOLA GENTILEZA PREMI;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80400;DISPLAY/EXPOSITOR/FORRACAO;196;DOCILE;80402;FORRACAO;BD;UN;1;1;1;39219090.;OUTS.CHAPAS,FOLHAS,TIRAS,L�MINAS D/PL�STICO;39219090;;13;14;;1,33322E+11;3,32133E+11;;14298;;4637;*DOCILE FAIXA DE GONDOLA C/ 10 UN;N;  ;;;;21/09/2023;2;;;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5416;*DOCILE SHOULDER BAG;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;80000;BRINDES / MERCHANDISING;80200;VESTUARIO;36;KIDS;80201;CAMISAS/CAMISETAS;L;UNIDADE;1;1;0,7;42021220.;MALAS,MALETAS,C/SUPERF.EXT.D/MAT.T�XTEIS;42021220;;13;13;;64466446644;31131133113;;14330;;4626;*MOCHILA DOCILE CINZA;N;  ;1;TECIDO;;21/09/2023;;0;0;0;4;LCA DISTRIBUIDORA LTDA;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5418;GSA REFRESC REFRESKANT MARACUJA 20G C/15;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;20000;BEBIDAS;200001;REFRESCO EM PO REFRESKANT;2000001;REFRESKANT;200010;RERESCO EM PO REFRESKANT;L;DP C/15;1;10;0,375;21069010.;OUTS.PREPARA��ES P/ELABORA��O DE BEBIDAS;21069010;;13;14;;7,89607E+12;2,78961E+13;;427.4;;5843;GSA REFRESCO REFRESKANT UVA 20G C/15;N;  ;;;;27/09/2023;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5426;NA MESA BATATA PALHA EXTRA FINA 90G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;14;NA MESA;66;A DEFINIR;L;UNIDADE;1;30;0,09;20052000.;BATATAS � CONS.VINAGRE/�CIDO AC�TICO,� CONG.;20052000;;13;14;;7,89284E+12;1,78928E+13;;300057863;;5123;NA MESA BATATA PALHA ORIGINAL 100G;N;  ;;;;03/11/2023;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5427;TORCIDA JR VINAGRETE 38G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112002;TORCIDA JR;193;TORCIDA;63;A DEFINIR;L;UNIDADE;1;24;0,038;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300058008;;5109;TORCIDA CHURRASCO 38G;N;FL;;;;03/11/2023;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5428;TORCIDA VINAGRETE 70G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;20;0,07;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300058007;;4049;TORCIDA COSTELINHA C/ LIMAO 70G;N;FL;;;;03/11/2023;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5436;GSA REFRESCO REFRESKANT LARANJA 20G C/15;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;20000;BEBIDAS;20300;REFRESCO GSA;38;ARCOR;20310;REFRESCO EM PO;L;PCT C/15 UND;1;10;0,385;21069010.;OUTS.PREPARA��ES P/ELABORA��O DE BEBIDAS;21069010;;13;14;;7,89607E+12;2,78961E+13;;427.2;;5843;GSA REFRESCO REFRESKANT UVA 20G C/15;N;  ;;;;27/11/2023;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5438;TORCIDA PAO DE ALHO 70G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;20;0,07;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300056663;;4049;TORCIDA COSTELINHA C/ LIMAO 70G;N;FL;;;;27/11/2023;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5439;EC BATATA LAYS RUSTICAS SAL MARINHO 38G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;207;LAYS;68;LAYS;L;UNIDADE;1;56;0,038;20052000.;BATATAS � CONS.VINAGRE/�CIDO AC�TICO,� CONG.;20052000;01;13;14;;7,89284E+12;1,78928E+13;;300058021;;5439;EC BATATA LAYS RUSTICAS SAL MARINHO 38G;N;  ;;;;27/11/2023;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
5456;KEROCOCO AGUA DE COCO 1L ;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;29;KEROCOCO;25;MERCEARIA;L;UNIDADE;1;12;1;20098921.;AGUA DE COCO SOCOCO ;20098921;;13;14;;7,89683E+12;3,78968E+13;;300005982;;5456;KEROCOCO AGUA DE COCO 1L ;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5457;KEROCOCO AGUA DE COCO 330ML;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;29;KEROCOCO;25;MERCEARIA;L;UNIDADE;1;12;0,33;20098921.;AGUA DE COCO SOCOCO ;20098921;;13;14;;7,89683E+12;1,78968E+13;;300005981;;5457;KEROCOCO AGUA DE COCO 330ML;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5458;QUAKER FARINHA DE AVEIA 165G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;5;QUAKER;25;MERCEARIA;L;UNIDADE;1;28;0,165;11029000.;OUTS.FAR.CER.,EXC.TRIGO OU MIST.TRIGO/CENTEIO;11029000;;13;14;;7,89284E+12;1,78928E+13;;300045688;;5460;QUAKER AVEIA FLOCOS REGULARES 165G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5459;QUAKER AVEIA FLOCOS FINOS 165G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;5;QUAKER;25;MERCEARIA;L;UNIDADE;1;28;0,165;11041200.;GR�OS DE AVEIA, ESMAGADOS OU EM FLOCOS;11041200;;13;14;;7,89284E+12;1,78928E+13;;300045686;;5460;QUAKER AVEIA FLOCOS REGULARES 165G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5460;QUAKER AVEIA FLOCOS REGULARES 165G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;5;QUAKER;25;MERCEARIA;L;UNIDADE;1;28;0,165;11029000.;OUTS.FAR.CER.,EXC.TRIGO OU MIST.TRIGO/CENTEIO;11029000;;13;14;;7,89284E+12;1,78928E+13;;300045687;;5460;QUAKER AVEIA FLOCOS REGULARES 165G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5461;QUAKER AVEIA OAT BRAN 165G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;5;QUAKER;25;MERCEARIA;L;UNIDADE;1;28;0,165;11029000.;OUTS.FAR.CER.,EXC.TRIGO OU MIST.TRIGO/CENTEIO;11029000;;13;14;;7,89284E+12;1,78928E+13;;300045689;;5461;QUAKER AVEIA OAT BRAN 165G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5462;QUAKER AVEIA FLOCOS FINOS 450G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;5;QUAKER;25;MERCEARIA;L;UNIDADE;1;12;0,45;11029000.;OUTS.FAR.CER.,EXC.TRIGO OU MIST.TRIGO/CENTEIO;11029000;;13;14;;7,89284E+12;1,78928E+13;;300045666;;5463;QUAKER AVEIA FLOCOS REGULARES 450G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5463;QUAKER AVEIA FLOCOS REGULARES 450G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;5;QUAKER;25;MERCEARIA;L;UNIDADE;1;12;0,45;11041200.;GR�OS DE AVEIA, ESMAGADOS OU EM FLOCOS;11041200;;13;14;;7,89284E+12;1,78928E+13;;300045667;;5463;QUAKER AVEIA FLOCOS REGULARES 450G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5464;TODDY ORIGINAL 750G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;4;TODDY;25;MERCEARIA;L;UNIDADE;1;12;0,75;18069000.3;OUTRAS PREPS.C/CACAU � CIT.ANTERIORMENTE;18069000;01;13;14;;7,89284E+12;1,78928E+13;;300054711;;5464;TODDY ORIGINAL 750G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5465;TODDY SACHET 700G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;4;TODDY;25;MERCEARIA;L;UNIDADE;1;12;0,7;18069000.3;OUTRAS PREPS.C/CACAU � CIT.ANTERIORMENTE;18069000;01;13;14;;7,89432E+12;1,78943E+13;;300023197;;5465;TODDY SACHET 700G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5466;TODDY ORIGINAL 370G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;4;TODDY;25;MERCEARIA;L;UNIDADE;1;24;0,37;18069000.3;OUTRAS PREPS.C/CACAU � CIT.ANTERIORMENTE;18069000;01;13;14;;7,89284E+12;1,78928E+13;;300055690;;5466;TODDY ORIGINAL 370G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5467;TODDY SACHET 300G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;4;TODDY;25;MERCEARIA;L;UNIDADE;1;24;0,3;18069000.3;OUTRAS PREPS.C/CACAU � CIT.ANTERIORMENTE;18069000;;13;14;;7,89284E+12;1,78928E+13;;300056386;;5467;TODDY SACHET 300G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5468;TODDY SACHET 175G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;4;TODDY;25;MERCEARIA;L;UNIDADE;1;42;0,175;18069000.3;OUTRAS PREPS.C/CACAU � CIT.ANTERIORMENTE;18069000;;13;14;;7,89284E+12;1,78928E+13;;300056463;;5468;TODDY SACHET 175G;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5469;TODDYNHO CHOCOLATE 200ML;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;25;TODDYNHO;25;MERCEARIA;L;UNIDADE;1;27;0,2;22029900.4;TODDYNHO -SUCO NECTAR;22029900;01;13;14;;7,89432E+12;1,78943E+13;;300004357;;5469;TODDYNHO CHOCOLATE 200ML;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5470;TODDYNHO LEVINHO 200ML;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;25;TODDYNHO;25;MERCEARIA;L;UNIDADE;1;27;0,2;22029900.4;TODDYNHO -SUCO NECTAR;22029900;01;13;14;;7,89432E+12;1,78943E+13;;300038798;;5469;TODDYNHO CHOCOLATE 200ML;N;  ;;;;08/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5471;TODDY SACHET 480G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;4;TODDY;25;MERCEARIA;L;UNIDADE;1;20;0,48;18069000.3;OUTRAS PREPS.C/CACAU � CIT.ANTERIORMENTE;18069000;;13;14;;7,89284E+12;1,78928E+13;;300056432;;5471;TODDY SACHET 480G;N;  ;;;;16/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5473;KEROCOCO AGUA DE COCO 200ML;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;29;KEROCOCO;25;MERCEARIA;L;UNIDADE;1;27;0,2;20098921.;AGUA DE COCO SOCOCO ;20098921;;13;14;;7,89683E+12;2,78968E+13;;300005980;;5473;KEROCOCO AGUA DE COCO 200ML;N;  ;;;;31/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5475;QUAKER AVEIA OAT BRAN 426 G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;5;QUAKER;25;MERCEARIA;L;UNIDADE;1;12;0,426;11029000.;OUTS.FAR.CER.,EXC.TRIGO OU MIST.TRIGO/CENTEIO;11029000;;13;14;;7,89284E+12;1,78928E+13;;300050131;;5475;QUAKER AVEIA OAT BRAN 426 G;N;  ;;;;31/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
5476;QUAKER FARINHA DE AVEIA 450G;1119;PEPSICO DO BRASIL IND COM ALI LTDA;1;SECO;25;MERC + AROM;5;QUAKER;25;MERCEARIA;L;UNIDADE;1;12;0,45;11029000.;OUTS.FAR.CER.,EXC.TRIGO OU MIST.TRIGO/CENTEIO;11029000;;13;14;;7,89284E+12;1,78928E+13;;300050130;;5476;QUAKER FARINHA DE AVEIA 450G;N;  ;;;;31/01/2024;;;;0;;;N;;N;N;;;;;N;;;;;N;;;;;;;;;;;;
